date,baby_products,bakery,drinks,food_cupboard,free-from,fresh_food,frozen,health_products,home,household,pets
01/01/2021,721,431,3552,6472,731,4362,1969,4837,499,1237,1508
01/02/2021,689,426,3716,6286,379,1455,971,4805,3937,1009,98
01/03/2021,1493,753,3555,5455,343,4443,933,3319,4223,993,807
01/04/2021,697,525,2668,5513,272,2822,939,4090,5110,1223,1607
01/05/2021,804,779,3100,6218,249,4789,931,3320,3561,1052,1515
01/06/2021,721,90,3339,9716,250,792,934,4374,3132,1310,812
01/07/2021,1459,758,3742,3307,651,4099,1880,4026,4034,1552,810
01/08/2021,777,483,3585,7993,377,1351,982,4683,4160,1084,844
01/09/2021,864,543,3359,5782,415,2440,1030,4071,4771,1252,940
01/10/2021,1042,669,3314,6346,695,3304,1212,3898,3510,1259,1068
01/11/2021,1085,444,3358,6410,396,2825,1251,3843,3434,1309,1115
01/12/2021,897,432,3626,6462,401,3278,1143,4405,3558,1231,885
01/01/2022,760,493,3086,7789,372,2965,934,4069,3892,1103,855
01/02/2022,776,415,3046,5441,394,2548,922,3720,4499,1149,861
01/03/2022,1018,645,3451,6226,658,3379,1197,3932,3487,1249,1047
01/04/2022,1041,450,3355,6334,459,2866,1220,3786,3502,1340,1087
01/05/2022,1039,474,3491,6413,465,3112,1302,4129,3548,1303,1012
01/06/2022,776,416,3415,6507,403,3195,932,4431,3515,1036,814
01/07/2022,776,501,2987,7265,405,2655,952,3769,4850,1238,890
01/08/2022,956,623,3543,6142,638,3265,1161,3909,3780,1256,1015
01/09/2022,992,537,3288,6251,554,3064,1212,3798,3478,1210,1056
01/10/2022,1002,410,3488,6447,395,2937,1301,4305,3597,1384,1022
01/11/2022,772,420,3531,6436,413,3126,991,4147,3668,1087,849
01/12/2022,713,464,3112,7171,352,2636,874,4028,4935,1169,834
01/01/2023,1304,696,4100,3527,723,3009,1642,4530,3778,1595,1384
01/02/2023,775,406,3144,5889,387,2727,987,4058,3474,1088,809
01/03/2023,689,465,3139,7277,370,2497,882,4222,4741,1169,837
01/04/2023,1112,661,3608,3808,691,3529,1421,4217,3788,1402,1203
01/05/2023,969,459,3389,5643,425,3047,1221,4981,3833,1313,1008
01/06/2023,1015,719,3657,6282,705,3511,92,4369,2751,1108,1231
01/07/2023,1199,628,4714,6973,529,4194,202,4462,1954,179,1254
01/08/2023,1260,556,4104,3900,493,3820,1622,3802,3952,1513,1266
01/09/2023,736,471,3162,7473,355,2999,889,3080,4307,1093,875
01/10/2023,1035,520,3730,6439,492,3330,1217,3372,3906,1207,1040
01/11/2023,1141,566,3491,6527,519,1990,1361,4117,3222,1335,1171
01/12/2023,617,740,3824,4055,652,3114,599,5118,5058,1364,1147
01/01/2024,909,436,3435,6628,377,3483,1204,4004,3583,1251,978
01/02/2024,872,459,1539,6150,357,2997,1025,4008,4951,1259,975
