date,baby_products,bakery,drinks,food_cupboard,free-from,fresh_food,frozen,health_products,home,household,pets
2021-01-01,811,648,3483,6130,1534,5619,467,5081,7388,2838,843
2021-02-01,1566,1804,4627,7761,174,4674,617,5329,2344,1849,723
2021-03-01,940,,2628,7783,1859,6414,481,5548,6483,1982,724
2021-04-01,857,1279,4839,6683,621,4536,844,6113,3221,3127,1598
2021-05-01,932,804,3804,7864,1023,3870,585,5504,6780,2830,846
2021-06-01,778,1681,4157,6637,1259,5242,1490,3729,4803,3208,733
2021-07-01,1232,497,3304,6981,589,5703,487,7106,5390,2308,1243
2021-08-01,1065,1038,4003,7269,800,4942,752,5922,5372,2626,1053
2021-09-01,958,937,3909,7210,851,5312,712,5433,4935,2490,971
2021-10-01,1027,1016,4150,7284,925,5381,800,5861,4888,2507,1001
2021-11-01,1081,1063,3572,7013,913,5461,772,5762,4575,2482,1024
2021-12-01,1055,999,3984,7740,735,5086,757,5626,5018,2865,977
2022-01-01,1044,1003,4009,7095,880,5640,824,5622,5089,2641,995
2022-02-01,931,904,3458,6839,839,5089,664,4984,4565,2324,871
2022-03-01,1095,1101,4405,6887,937,4880,766,5785,5341,2652,993
2022-04-01,1013,990,3831,6989,742,5418,688,5355,4921,2778,993
2022-05-01,956,1007,3717,7396,979,5510,804,5563,4981,2937,992
2022-06-01,924,978,4065,6771,907,5323,812,5249,4971,2720,996
2022-07-01,1041,963,3593,7469,837,5446,731,5612,5268,2823,1058
2022-08-01,1027,987,4450,7171,872,5218,834,5555,5027,2721,980
2022-09-01,986,903,3969,7056,889,5327,803,5464,4728,2651,940
2022-10-01,1077,1002,4191,7433,897,5368,809,5690,4614,2753,1005
2022-11-01,1060,1001,3936,7129,808,5131,869,5380,4721,2701,981
2022-12-01,1065,1038,3888,6935,888,5765,241,5792,5287,2901,1040
2023-01-01,1056,1000,4167,7429,809,5390,889,5737,4910,2811,641
2023-02-01,993,956,3554,6679,786,4974,680,5291,4541,2489,526
2023-03-01,1047,1039,3959,7329,833,5292,692,5821,5120,2663,1046
2023-04-01,951,1031,3818,6674,976,5859,867,4821,4810,2848,1060
2023-05-01,1173,1118,4112,7360,970,5472,801,5907,4973,1848,1108
2023-06-01,1152,1062,4184,6710,940,5263,708,5615,4561,2578,944
2023-07-01,813,593,2850,5019,723,4068,108,3907,3897,2032,599
