date,baby_products,bakery,drinks,food_cupboard,fresh_food,frozen,health_products,home,household,pets
01/01/2021,1158,1203,3963,7867,3617,1115,5409,4892,1123,746
01/02/2021,1077,833,3232,7119,3398,1041,4677,4861,1088,758
01/03/2021,1238,742,3726,6850,3834,1126,5408,5684,1424,1061
01/04/2021,1192,747,3837,6465,3571,1135,5238,5681,1255,969
01/05/2021,1151,1204,4007,7886,3790,1140,5067,4904,1160,784
01/06/2021,1293,888,3284,7330,3914,1191,4965,5116,1231,878
01/07/2021,1172,584,3856,7000,3754,1016,5442,5734,1324,1211
01/08/2021,1127,759,3754,7570,4239,1212,5228,4912,1396,896
01/09/2021,1075,766,3418,7519,4094,1067,5072,4864,1327,888
01/10/2021,1168,731,3657,7600,4149,1094,5107,5295,1334,958
01/11/2021,1107,752,3624,7389,3963,1076,5094,4881,1280,924
01/12/2021,1094,785,3506,7191,3958,1280,5295,5519,1501,964
01/01/2022,1126,824,3618,7752,3952,1188,5148,5106,1378,1001
01/02/2022,1077,701,3336,6578,3887,1043,4862,4355,1284,961
01/03/2022,1099,787,3615,7678,4060,1248,5082,5196,1408,920
01/04/2022,1096,746,3502,7471,3921,1096,5032,5014,1288,923
01/05/2022,1111,789,3573,7691,4142,1139,5311,5109,1309,919
01/06/2022,1080,707,3655,7327,3965,1154,5102,4856,1296,948
01/07/2022,1102,801,3559,7739,4123,1211,5092,5141,1404,921
01/08/2022,1129,782,3659,7713,4089,1137,5243,5023,1353,965
01/09/2022,1072,740,3561,7348,3952,1109,5180,4943,1261,924
01/10/2022,1114,793,3689,7562,4181,1266,5249,4922,1364,953
01/11/2022,1098,754,3568,7539,4006,1108,5024,4783,1293,917
01/12/2022,1215,810,3667,7666,4196,1142,5237,4808,1341,1011
01/01/2023,1266,810,3715,7437,4111,1262,5615,4591,1284,1002
01/02/2023,1238,830,3795,8051,4233,1191,3837,3297,913,699
01/03/2023,1453,898,4355,8840,4792,1360,4223,3514,945,713
01/04/2023,1132,760,3552,7248,3984,1173,5105,4912,1312,912
01/05/2023,1199,809,3678,7695,4073,1174,5154,5026,1322,963
01/06/2023,1153,760,3578,7261,3870,1108,5307,4873,1262,918
01/07/2023,1154,759,3735,7308,4144,1225,5484,5046,1294,944
01/08/2023,1181,770,3773,7579,3948,1156,5498,4942,1291,955
01/09/2023,1132,732,3567,7498,3923,1113,5396,4621,1215,893
01/10/2023,1161,763,3768,7556,4076,1161,5577,4795,1302,934
01/11/2023,403,295,1273,2935,1553,423,1923,1807,509,352
